f,l,H,dg,fid,FORM_CODE,PERIMETER,AREA,IGME_NAME,HYDRO_CODE,Density_g_,Source,H2,H3
41.075384000000000,23.803153999999999,499.800000000000011,19.917200000000001,"8996",Ms-Pl.m,s,"34949.773","8427064.024",,"211","2.2","212",432.279205322266
41.034382999999998,23.788153999999999,179.199999999999989,-0.898993000000000,"9883",Pl.tr,"126945.883","70446410.11",,"221","2.67",Average,"156",163.781692504883
41.038482999999999,23.907257000000001,296.100000000000023,4.840430000000000,"9014",Pt,"12010.072","3822294.686",??????????,"111","2.2",USGS,"179",287.599822998047
41.046183999999997,23.909457000000000,335.600000000000023,6.853410000000000,"9014",Pt,"12010.072","3822294.686",??????????,"111","2.2",USGS,"182",289.717346191406
41.050184000000002,23.897957000000002,343.300000000000011,8.863899999999999,"9016",M.m,"36764.971","9602654.981",??????????,"42","2.67",Average,"185",310.533081054688
41.057684000000002,23.887656000000000,426.000000000000000,13.766800000000000,"8989",M.c,m,"72597.073","36638056.55",??????????,"111","2.2","199",407.409545898438
41.009383000000000,23.884457000000001,153.199999999999989,-0.615570000000000,"9883",Pl.tr,"126945.883","70446410.11",,"221","2.67",Average,"151",169.503768920898
41.055982999999998,23.821954999999999,407.500000000000000,4.841320000000000,"9883",Pl.tr,"126945.883","70446410.11",,"221","2.67",Average,"198",390.575469970703
41.052182999999999,23.811854000000000,380.699999999999989,1.963340000000000,"9883",Pl.tr,"126945.883","70446410.11",,"221","2.67",Average,"196",378.399810791016
41.066684000000002,23.840755000000001,453.699999999999989,7.948580000000000,"9883",Pl.tr,"126945.883","70446410.11",,"221","2.67",Average,"208",452.301910400391
41.074683999999998,23.800153999999999,402.199999999999989,15.180600000000000,"8997",Pl.m,"2173.031","149098.415",??????????,"411","2.67",Average,"199",397.812255859375
41.078384000000000,23.840254999999999,551.399999999999977,14.945900000000000,"8983",M.c,"52002.707","37734947.63",??????????,"211","2.2",USGS,"216",524.861206054688
41.044682999999999,23.856756000000001,349.399999999999977,8.146140000000003,"9883",Pl.tr,"126945.883","70446410.11",,"221","2.67",Average,"183",315.102722167969
41.048882999999996,23.862155999999999,339.699999999999989,3.525320000000000,"9883",Pl.tr,"126945.883","70446410.11",,"221","2.67",Average,"193",369.925567626953
41.033183000000001,23.859255999999998,309.899999999999977,6.206870000000000,"9883",Pl.tr,"126945.883","70446410.11",,"221","2.67",Average,"179",276.613647460938
41.063484000000003,23.866455999999999,468.699999999999989,11.769700000000000,"9883",Pl.tr,"126945.883","70446410.11",,"221","2.67",Average,"206",463.355560302734
41.029882999999998,23.888456999999999,268.100000000000023,5.402870000000000,"9883",Pl.tr,"126945.883","70446410.11",,"221","2.67",Average,"161",266.251892089844
41.039682999999997,23.887156000000001,315.500000000000000,9.700839999999999,"9016",M.m,"36764.971","9602654.981",??????????,"42","2.67",Average,"180",254.706405639648
41.057183999999999,23.907657000000000,420.199999999999989,11.688599999999999,"8989",M.c,m,"72597.073","36638056.55",??????????,"111","2.2","191",391.165618896484
41.055984000000002,23.858156000000001,403.399999999999977,10.038300000000000,"9883",Pl.tr,"126945.883","70446410.11",,"221","2.67",Average,"195",398.096557617188
40.877979000000003,23.764455000000002,41.600000000000001,-11.279999999999999,"10278",Pl-M-m.k.c.,"53817.052","11287171.75",,"411","2.2",USGS,"135",43.5307426452637
40.866878000000000,23.572251000000001,242.500000000000000,14.228999999999999,"9978",Pl-M-m,"34215.911","11867466.99",??????????,"221","2.67",Average,"168",244.855407714844
40.862980000000000,23.909158999999999,136.800000000000011,7.149030000000000,"9599",Ms-Pl.tv-k,"1994.809","120233.721",?????????,"321","2.2",USGS,"154",168.187698364258
40.858879999999999,23.911759000000000,140.699999999999989,12.721600000000000,"9597",gn,bi,"5625.975","291857.84",?????????,"413","2.8","155",158.416900634766
40.854680000000002,23.915759000000001,207.500000000000000,18.751500000000000,"9633",gn,bi,"2989.023","221506.281",?????????,"413","2.8","156",184.014678955078
40.850378999999997,23.916758999999999,250.099999999999994,19.514700000000001,"9633",gn,bi,"2989.023","221506.281",?????????,"413","2.8","170",246.125961303711
40.845878999999996,23.919159000000001,276.899999999999977,18.107900000000001,"9888",mr,"264152.576","117661078.5",,"2132","2.75",Carmichael,"178",270.092376708984
40.842379000000001,23.921658999999998,291.300000000000011,12.401100000000000,"9888",mr,"264152.576","117661078.5",,"2132","2.75",Carmichael,"193",343.425140380859
40.837679000000001,23.925758999999999,308.500000000000000,14.594700000000000,"9888",mr,"264152.576","117661078.5",,"2132","2.75",Carmichael,"187",329.477203369141
40.836379000000001,23.930259000000000,340.699999999999989,13.028499999999999,"9703",H.sc,"2834","227806.981",?????????,"311","2.75",Carmichael,"198",379.191925048828
40.831479000000002,23.933959999999999,384.000000000000000,13.551200000000000,"9698",mr-sch,"8584.853","1923563.136",?????????,"2132","2.75",Carmichael,"201",412.036499023438
