fid,field_1,field_2,field_3,FORM_CODE,IGME_NAME,HYDRO_CODE,H1,SAMPLE_1
"1341","22.7974","41.3343","-5.0135",γ,Καστανούσα - Πόροια,"222","227",1362.49523925781
"1342","22.7641","41.301","-1.3311",γ,Καστανούσα - Πόροια,"222","215",542.830871582031
"1343","22.7974","41.301","-8.6272",γ,Καστανούσα - Πόροια,"222","208",525.673645019531
"1344","22.8307","41.301","-9.1766",Q.cs4,Καστανούσα - Πόροια,"221","195",400.851196289062
"1345","22.8973","41.3343","6.0723",ab,Καστανούσα - Πόροια,"323","228",1575.48803710938
"1346","22.864","41.301","-2.6979",Q.cs3,Καστανούσα - Πόροια,"42","200",425.614440917969
"1347","22.9306","41.301","0.7457",Q.cs3,Καστανούσα - Πόροια,"42","198",420.439880371094
"1348","23.1637","41.301","3.2638",gn2,- Νέο Πετρίτσιον - Καστανούσα - Πόροια,"323","223",969.91796875
"1349","23.0305","41.301","-5.6467",ab,Καστανούσα - Πόροια,"413","222",915.290283203125
"1350","23.197","41.301","9.7855",gn2,- Νέο Πετρίτσιον - Καστανούσα - Πόροια,"323","223",842.554443359375
"1351","23.1637","41.2677","-5.2953",Q.cs2,Καστανούσα - Πόροια,"111","146",116.715766906738
"1352","23.197","41.2677","-5.0612",Q.cs2,Καστανούσα - Πόροια,"111","146",123.186828613281
"1353","23.1304","41.2677","-3.8663",Q.cs3,Καστανούσα - Πόροια,"42","148",137.203323364258
"1354","23.0971","41.2677","-0.6523",Q.cs3,Καστανούσα - Πόροια,"42","152",168.091888427734
"1355","23.0971","41.2344","10.8237",H.al,- Χέρσον - Κερκίνη,"111","131",32.4339981079102
"1356","23.1304","41.2344","6.4658","H.s,l",Καστανούσα - Πόροια - Κερκίνη,"42","132",33.5
"1357","23.197","41.2344","-1.7075",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","131",31.0798683166504
"1358","23.2303","41.2344","-5.8987",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","132",34.3866119384766
"1359","23.0971","41.2011","17.9179",water_surf,Καστανούσα- Πόροια - Κερκίνη,"0","132",33.5
"1360","23.1304","41.2011","13.9468",water_surf,Καστανούσα- Πόροια - Κερκίνη,"0","132",33.5
"1361","23.1637","41.2011","9.3366",water_surf,Καστανούσα- Πόροια - Κερκίνη,"0","132",33.5
"1362","23.197","41.2011","3.1385",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","130",30.3031482696533
"1363","23.2303","41.2011","-4.465",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","132",34.0223541259766
"1364","23.2303","41.1678","-5.5694",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","129",28.8936405181885
"1365","22.8973","41.301","2.3621",Q.cs2,Καστανούσα - Πόροια,"111","201",418.421508789062
"1366","22.9639","41.301","-4.2774",Q.cs2,Καστανούσα - Πόροια,"111","194",393.730743408203
"1367","22.9972","41.301","-6.1897",gn2,- Νέο Πετρίτσιον - Καστανούσα - Πόροια,"323","215",575.720642089844
