id,f,l,H,dg
1,40.62472222,22.96805556,58.481,33.6213
1,40.62444444,22.96805556,54.902,33.2662
1,40.62388889,22.96777778,51.535,32.9233
1,40.62333333,22.96777778,49.298,32.4982
1,40.62305556,22.9675,47.764,32.2869
1,40.6225,22.96722222,46.265,32.1331
1,40.62194444,22.96694444,45.42,31.8784
1,40.62166667,22.96694444,42.408,31.367
1,40.62122222,22.96652778,39.86,31.1128
1,40.62077778,22.96610833,37.126,30.9338
1,40.62038889,22.96563889,34.6,30.9346
1,40.62002778,22.96519444,32.749,31.0299
1,40.61963889,22.96469444,30.535,30.8101
1,40.61927778,22.96436111,29.028,30.5067
1,40.619,22.96383333,27.418,30.1323
1,40.61905556,22.96316667,25.696,29.6922
1,40.62008333,22.96269444,25.525,29.6991
1,40.62066667,22.96244444,25.831,29.8045
1,40.62119444,22.96241667,26.324,29.8932
1,40.62152778,22.96252778,26.301,30.0027
1,40.62213889,22.96247222,26.559,30.1878
1,40.6225,22.96244444,26.622,30.3856
1,40.62308333,22.96238889,26.867,30.6496
1,40.6235,22.96225,27.28,30.8874
1,40.62391667,22.96197222,26.906,31.1072
1,40.62447222,22.96155556,26.534,31.3462
1,40.62527778,22.96091667,25.461,31.4951
1,40.6255,22.96166667,31.285,31.8599
1,40.62558333,22.96225,35.184,32.1352
1,40.62558333,22.96288889,39.218,32.4062
1,40.62561111,22.9635,41.91,32.4239
1,40.62563889,22.96411111,44.355,32.3214
1,40.6255,22.96475,47.532,32.4549
1,40.62608333,22.96438889,47.316,32.5934
1,40.62655556,22.96408333,47.032,32.7801
1,40.62691667,22.96386111,46.927,32.8748
1,40.62730556,22.96358333,46.528,33.0334
1,40.62763889,22.96422222,47.526,33.6531
1,40.62779167,22.96472222,48.659,34.2836
1,40.62713889,22.96294444,42.373,33.8214
1,40.62695833,22.96247222,39.202,32.8732
1,40.62675,22.96191667,35.548,31.7287
1,40.62615278,22.96177778,34.481,32.8097
1,40.62597222,22.96223889,36.195,33.5834
1,40.62658333,22.96138889,32.046,32.8225
1,40.62644444,22.961,29.489,32.2448
1,40.62598611,22.96026389,24.499,28.4431
1,40.62565278,22.96063889,25.029,28.4603
1,40.62504444,22.96511111,47.71,32.322
1,40.62463889,22.96533333,47.645,32.2715
1,40.62423611,22.96563889,47.322,32.2522
1,40.62380556,22.96591667,47.09,32.2526
1,40.62336111,22.96622222,46.888,32.2143
1,40.623,22.96686111,46.732,32.1525
1,40.62255556,22.96675,46.354,32.0288
1,40.62513889,22.96375,40.839,32.0419
1,40.62469444,22.96402778,40.131,31.9121
1,40.62433333,22.96422222,39.723,31.7291
1,40.62390278,22.96461111,39.071,31.5469
1,40.62330556,22.96491667,34.43,31.0399
1,40.62527222,22.96445556,44.356,32.1519
1,40.62458333,22.96477778,43.438,31.9205
1,40.62388889,22.96513889,41.087,31.5598
1,40.62416667,22.96375,36.571,31.5661
1,40.62369444,22.96416667,36.197,31.3321
1,40.62325,22.96438889,33.948,30.9926
1,40.62397222,22.96333333,33.561,31.3933
1,40.62352778,22.96369444,33.52,31.1678
1,40.623,22.96386111,29.191,30.6984
1,40.62333333,22.96305556,30.122,30.9725
1,40.62255556,22.96311111,28.063,30.3839
1,40.62219444,22.96344444,32.071,30.7844
1,40.62236111,22.96413889,34.495,31.0275
1,40.62277778,22.9655,34.558,31.0496
1,40.62211111,22.96491667,37.454,31.2306
1,40.62172222,22.96552778,38.148,31.2155
1,40.62211111,22.96572222,39.417,31.4513
1,40.622,22.96661111,41.377,31.5468
1,40.62127778,22.96611111,38.707,31.1084
1,40.62122222,22.96513889,36.661,31.0642
1,40.62097222,22.96541667,36.643,30.9172
1,40.62069444,22.96525,33.651,30.8268
1,40.62091667,22.96469444,32.557,30.7427
1,40.62116667,22.96416667,31.333,30.6189
